iter	Passed	Remaining
437	1431	1633
438	1434	1630
439	1437	1627
440	1441	1624
441	1444	1620
442	1447	1617
443	1451	1614
444	1454	1611
445	1457	1608
446	1461	1604
447	1464	1601
448	1467	1598
449	1470	1595
450	1474	1591
451	1477	1588
452	1480	1585
453	1484	1582
454	1487	1579
455	1491	1576
456	1494	1573
457	1498	1569
458	1501	1567
459	1505	1563
460	1508	1560
461	1511	1557
462	1515	1554
463	1518	1551
464	1521	1547
465	1525	1544
466	1528	1541
467	1532	1538
468	1535	1535
469	1538	1532
470	1542	1529
471	1545	1526
472	1549	1523
473	1552	1519
474	1556	1516
475	1559	1513
476	1562	1510
477	1566	1507
478	1569	1503
479	1572	1500
480	1576	1497
481	1579	1494
482	1582	1491
483	1586	1487
484	1589	1484
485	1593	1481
486	1596	1478
487	1600	1475
488	1603	1472
489	1606	1468
490	1609	1465
491	1613	1462
492	1616	1459
493	1619	1455
494	1622	1452
495	1626	1449
496	1629	1445
497	1632	1442
498	1635	1439
499	1639	1435
500	1642	1432
501	1645	1429
502	1648	1426
503	1653	1424
504	1657	1420
505	1660	1417
506	1663	1413
507	1666	1410
508	1669	1406
509	1672	1403
510	1675	1400
511	1678	1396
512	1683	1394
513	1686	1391
514	1690	1388
515	1694	1385
516	1697	1382
517	1700	1378
518	1703	1375
519	1706	1371
520	1709	1368
521	1712	1364
522	1715	1361
523	1718	1357
524	1721	1354
525	1724	1350
526	1728	1348
527	1732	1344
528	1735	1341
529	1738	1338
530	1741	1334
531	1744	1331
532	1747	1327
533	1750	1324
534	1753	1320
535	1756	1317
536	1759	1313
537	1762	1310
538	1766	1307
539	1769	1304
540	1772	1300
541	1775	1297
542	1778	1293
543	1781	1290
544	1784	1286
545	1787	1283
546	1790	1280
547	1794	1276
548	1797	1273
549	1800	1270
550	1803	1266
551	1806	1263
552	1809	1259
553	1812	1256
554	1815	1253
555	1818	1249
556	1821	1246
557	1824	1242
558	1827	1239
559	1831	1235
560	1834	1232
561	1837	1229
562	1840	1225
563	1843	1222
564	1846	1218
565	1849	1215
566	1852	1212
567	1855	1208
568	1858	1205
569	1861	1201
570	1864	1198
571	1867	1194
572	1870	1191
573	1873	1188
574	1877	1184
575	1880	1181
576	1883	1178
577	1886	1174
578	1889	1171
579	1892	1168
580	1895	1164
581	1898	1161
582	1901	1157
583	1904	1154
584	1907	1151
585	1910	1147
586	1913	1144
587	1916	1141
588	1919	1137
589	1922	1134
590	1925	1130
591	1928	1127
592	1933	1124
593	1936	1121
594	1939	1118
595	1942	1114
596	1945	1111
597	1948	1107
598	1951	1104
599	1955	1101
600	1958	1097
601	1961	1094
602	1963	1091
603	1967	1087
604	1970	1084
605	1973	1081
606	1976	1077
607	1979	1074
608	1982	1070
609	1985	1067
610	1988	1064
611	1991	1060
612	1994	1057
613	1997	1054
614	2000	1050
615	2003	1047
616	2006	1044
617	2009	1040
618	2013	1037
619	2016	1034
620	2019	1030
621	2022	1027
622	2025	1024
623	2028	1020
624	2031	1017
625	2034	1014
626	2037	1010
627	2040	1007
628	2043	1003
629	2046	1000
630	2049	997
631	2053	994
632	2056	990
633	2059	987
634	2062	983
635	2065	980
636	2068	977
637	2071	974
638	2074	970
639	2077	967
640	2080	964
641	2085	961
642	2088	958
643	2093	955
644	2096	952
645	2100	949
646	2104	946
647	2108	943
648	2112	940
649	2116	937
650	2119	934
651	2123	931
652	2127	928
653	2131	925
654	2135	922
655	2139	919
656	2143	916
657	2146	913
658	2150	910
659	2154	907
660	2158	904
661	2162	901
662	2166	898
663	2170	895
664	2174	892
665	2178	889
666	2181	886
667	2185	883
668	2188	879
669	2191	876
670	2195	873
671	2199	870
672	2202	867
673	2205	864
674	2209	860
675	2212	857
676	2216	854
677	2219	851
678	2222	847
679	2226	844
680	2229	841
681	2233	838
682	2236	835
683	2239	831
684	2243	828
685	2247	825
686	2250	822
687	2254	819
688	2258	816
689	2262	813
690	2265	809
691	2269	806
692	2272	803
693	2276	800
694	2279	797
695	2283	794
696	2287	790
697	2290	787
698	2293	784
699	2297	781
700	2300	777
701	2303	774
702	2307	771
703	2310	768
704	2314	764
705	2317	761
706	2320	758
707	2324	755
708	2327	751
709	2330	748
710	2334	745
711	2337	741
712	2341	738
713	2344	735
714	2347	732
715	2350	728
716	2354	725
717	2357	722
718	2361	719
719	2364	715
720	2368	712
721	2371	709
722	2374	706
723	2378	702
724	2381	699
725	2385	696
726	2388	693
727	2391	689
728	2394	686
729	2398	683
730	2401	680
731	2405	676
732	2408	673
733	2411	670
734	2414	666
735	2417	663
736	2421	660
737	2424	657
738	2428	653
739	2431	650
740	2435	647
741	2438	644
742	2441	640
743	2444	637
744	2448	634
745	2451	630
746	2454	627
747	2458	624
748	2461	621
749	2464	617
750	2468	614
751	2471	611
752	2475	608
753	2478	604
754	2481	601
755	2485	598
756	2488	594
757	2491	591
758	2495	588
759	2498	585
760	2502	581
761	2505	578
762	2508	575
763	2512	572
764	2515	568
765	2519	565
766	2522	562
767	2525	559
768	2530	556
769	2534	552
770	2537	549
771	2540	546
772	2544	543
773	2547	539
774	2550	536
775	2555	533
776	2558	530
777	2562	526
778	2565	523
779	2569	520
