iter	RMSE
501	12022.25527
502	12020.66227
503	12013.05518
504	11999.61265
505	11998.48554
506	11982.56815
507	11959.95228
508	11933.48861
509	11919.56372
510	11900.70123
511	11885.2692
512	11873.38207
513	11861.37404
514	11853.25374
515	11837.59994
516	11829.96619
517	11810.08676
518	11790.01832
519	11773.1434
520	11764.47675
521	11745.66116
522	11724.45871
523	11715.63985
524	11701.00796
525	11685.6309
526	11670.14683
527	11650.56317
528	11632.01044
529	11617.07243
530	11599.17472
531	11592.95699
532	11584.12088
533	11582.69547
534	11565.96256
535	11554.27183
536	11538.0986
537	11526.09879
538	11510.97946
539	11498.04663
540	11496.09314
541	11480.31376
542	11472.95783
543	11453.86381
544	11432.27695
545	11420.66284
546	11419.2982
547	11404.10194
548	11396.12537
549	11381.87086
550	11368.3969
551	11351.07714
552	11337.52808
553	11324.30422
554	11307.27523
555	11290.84237
556	11279.36266
557	11271.17233
558	11269.45827
559	11255.46716
560	11244.26279
561	11227.8027
562	11211.81136
563	11192.9509
564	11175.10907
565	11173.53152
566	11162.00958
567	11144.35619
568	11131.83515
569	11128.19164
570	11124.49775
571	11103.68571
572	11097.54701
573	11092.52677
574	11086.18542
575	11075.9278
576	11062.55062
577	11049.1208
578	11033.29831
579	11021.51334
580	11005.60164
581	10987.57596
582	10977.67636
583	10963.60632
584	10962.41565
585	10950.19914
586	10939.87366
587	10929.20207
588	10916.27016
589	10904.85662
590	10894.35559
591	10879.58327
592	10867.8323
593	10852.82825
594	10833.10119
595	10816.20834
596	10814.84075
597	10800.85578
598	10786.54943
599	10777.84263
600	10767.89245
601	10750.31435
602	10733.01353
603	10727.74677
604	10713.34413
605	10700.35781
606	10685.2684
607	10672.40765
608	10668.2689
609	10658.36747
610	10645.47132
611	10636.09384
612	10630.87654
613	10620.97925
614	10610.55716
615	10600.04839
616	10587.03149
617	10574.09388
618	10562.96653
619	10549.28677
620	10537.58836
621	10536.1383
622	10535.03801
623	10526.52248
624	10519.06006
625	10507.73208
626	10501.98396
627	10488.69274
628	10474.45096
629	10459.60783
630	10444.85412
631	10426.76321
632	10423.6013
633	10411.59481
634	10405.43099
635	10403.96348
636	10399.37143
637	10387.17096
638	10375.68578
639	10364.27042
640	10351.37042
641	10340.82646
642	10332.31812
643	10322.35599
644	10308.47589
645	10299.74508
646	10288.31169
647	10287.46188
648	10279.76434
649	10264.6475
650	10250.5819
651	10249.6823
652	10240.14132
653	10223.66351
654	10214.71391
655	10213.52182
656	10201.31204
657	10188.84405
658	10187.92203
659	10173.00537
660	10158.29227
661	10146.76579
662	10132.82554
663	10116.69462
664	10105.55104
665	10095.82803
666	10085.30064
667	10073.13987
668	10060.75546
669	10046.39631
670	10036.94111
671	10027.99191
672	10021.29278
673	10009.92326
674	10007.72783
675	9995.87929
676	9983.070503
677	9982.095384
678	9967.699961
679	9956.624656
680	9941.698863
681	9929.223161
682	9918.843831
683	9912.481368
684	9903.89271
685	9895.073603
686	9881.422963
687	9866.224403
688	9850.147504
689	9839.369051
690	9827.983946
691	9826.814487
692	9815.569922
693	9806.783944
694	9802.179699
695	9794.595919
696	9789.540478
697	9776.748838
698	9766.541187
699	9763.259413
700	9752.896795
701	9740.681131
702	9729.767011
703	9717.804021
704	9714.333425
705	9702.119604
706	9695.214699
707	9679.519623
708	9668.476173
709	9667.561235
710	9660.059849
711	9654.003226
712	9645.641679
713	9640.576835
714	9639.721316
715	9630.9618
716	9624.15785
717	9612.233797
718	9605.358386
719	9591.663542
720	9581.904366
721	9573.444619
722	9569.119137
723	9558.116377
724	9550.839587
725	9541.365245
726	9540.503745
727	9532.065895
728	9518.957426
729	9515.126762
730	9504.375919
731	9497.259077
732	9482.822552
733	9471.418043
734	9463.864903
735	9451.803175
736	9436.635537
737	9427.922651
738	9416.464429
739	9408.685281
740	9400.335283
741	9394.825395
742	9383.020841
743	9373.467722
744	9366.013661
745	9352.191323
746	9345.208757
747	9333.390265
748	9324.784487
749	9315.517904
750	9304.451547
751	9294.456405
752	9285.738155
753	9271.459111
754	9262.662348
755	9255.237957
756	9246.41335
757	9241.791427
758	9232.763637
759	9229.359446
760	9221.307855
761	9213.312457
762	9201.985994
763	9194.336647
764	9182.23601
765	9171.92438
766	9164.501696
767	9155.230764
768	9149.105569
769	9142.873138
770	9131.263045
771	9120.191261
772	9111.026368
773	9110.169615
774	9099.244927
775	9091.878402
776	9083.34697
777	9070.73852
778	9065.874074
779	9055.051761
780	9048.534876
781	9039.808023
782	9039.064087
783	9027.407217
784	9016.23834
785	9000.081436
786	8988.422394
787	8979.566106
788	8970.469221
789	8960.278432
790	8952.581966
791	8945.491619
792	8939.329735
793	8924.19714
794	8918.294272
795	8911.487307
796	8901.291235
797	8889.838498
798	8878.838017
799	8870.457137
800	8858.047889
801	8855.229456
802	8848.217567
803	8837.721504
804	8832.719146
805	8828.536797
806	8822.624051
807	8814.272089
808	8806.316796
809	8805.459913
810	8804.750668
811	8793.446553
812	8788.304269
813	8776.136928
814	8767.302361
815	8757.324675
816	8747.399082
817	8736.368988
818	8725.780181
819	8712.723832
820	8711.940412
821	8704.910043
822	8694.060017
823	8683.852842
824	8675.914725
825	8663.990909
826	8654.603582
827	8649.544602
828	8646.838072
829	8646.167399
830	8638.966763
831	8629.664321
832	8628.993848
833	8620.51095
834	8610.831572
835	8607.669895
836	8597.744461
837	8591.748359
838	8586.27795
839	8585.657999
840	8574.320011
841	8573.340263
842	8562.194691
843	8561.675388
844	8552.14103
845	8551.427429
846	8542.265564
847	8532.564393
848	8528.065429
849	8514.582174
850	8510.991927
851	8503.430581
852	8490.963392
853	8481.171845
854	8472.764187
855	8463.009901
856	8460.190196
857	8451.954511
858	8451.046821
859	8447.0192
860	8439.900696
861	8439.421289
862	8428.451703
863	8427.884432
864	8418.225455
865	8406.334071
866	8398.487461
867	8389.42145
868	8381.388879
869	8380.618924
870	8371.371147
871	8363.481551
872	8353.62597
873	8341.1442
874	8330.298453
875	8318.116802
876	8310.957523
877	8303.90811
878	8298.84781
879	8291.026386
880	8284.991969
881	8284.153257
882	8273.995091
883	8264.379472
884	8255.760899
885	8247.737735
886	8241.008737
887	8234.257443
888	8223.500133
889	8213.695836
890	8205.004958
891	8198.210792
892	8190.272043
893	8188.359004
894	8181.141378
895	8172.678555
896	8164.477326
897	8156.70463
898	8150.528186
899	8149.923559
900	8146.77501
901	8145.878956
902	8137.646367
903	8128.059852
904	8119.838474
905	8114.300388
906	8108.612939
907	8099.103952
908	8093.113822
909	8082.101506
910	8075.132987
911	8074.463534
912	8073.885707
913	8068.326988
914	8060.707174
915	8051.430716
916	8051.051286
917	8050.635208
918	8043.127
919	8042.592561
920	8036.62492
921	8030.342152
922	8020.881082
923	8014.087846
924	8006.402537
925	7997.254645
926	7991.467576
927	7980.582105
928	7973.329888
929	7965.066226
930	7956.773593
931	7952.244875
932	7947.415041
933	7939.329327
934	7933.10988
935	7924.681515
936	7923.976322
937	7917.378911
938	7914.008229
939	7908.327537
940	7905.812222
941	7901.373842
942	7897.384142
943	7891.181566
944	7881.70879
945	7866.985684
946	7862.134079
947	7851.990387
948	7849.074418
949	7847.588062
950	7839.824406
951	7833.569144
952	7828.444455
953	7827.622162
954	7817.964927
955	7817.369996
956	7810.30735
957	7796.931013
958	7789.311936
959	7780.31853
960	7773.475956
961	7766.685982
962	7756.912524
963	7750.310152
964	7738.726476
965	7729.998823
966	7721.860115
967	7719.243649
968	7710.860384
969	7701.966122
970	7699.421665
971	7695.896891
972	7695.086076
973	7694.728235
974	7688.003613
975	7687.6573
976	7683.559003
977	7674.262569
978	7671.442585
979	7667.986345
980	7659.916079
981	7653.634839
982	7651.592495
983	7643.546671
984	7636.890407
985	7629.303284
986	7616.935125
987	7610.017041
988	7603.981923
989	7598.916514
990	7590.255178
991	7584.468811
992	7575.850189
993	7575.520477
994	7565.958078
995	7561.666755
996	7558.197505
997	7551.474874
998	7545.684424
999	7542.410999
